Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
108,9/8/2019,1002.5,78.05,79.21,89.82,89.82,0.66,12.01,0.86,23.86,140,7,0.0595,0.0214,261.6,10,0.33,1
109,9/8/2019,1002.5,78.2,79.38,90.1,90.1,0.67,11.81,0.85,23.68,139,7,0.0505,0.0195,261.6,10,0.33,1
110,9/8/2019,1002.5,78.05,79.22,89.85,89.85,0.66,11.96,0.85,23.82,140,7,0.0565,0.0208,261.6,10,0.33,1
111,9/8/2019,1002.5,77.6,78.91,89.96,89.96,0.66,11.81,0.85,23.75,140,7,0.056,0.0203,261.7,10,0.33,1
112,9/8/2019,1001.9,77.75,78.98,90.12,90.12,0.68,11.76,0.85,23.61,139,7,0.049,0.0191,261.6,10,0.33,1
113,9/8/2019,1002,78.24,79.39,89.45,89.45,0.66,11.85,0.85,23.79,140,7,0.0563,0.0206,261.7,10,0.33,0
114,9/8/2019,1002.6,77.95,79.07,89.74,89.74,0.66,12,0.85,23.89,140,7,0.0558,0.021,261.6,10,0.33,1
115,9/8/2019,1002,78.46,79.1,89.37,89.37,0.69,11.66,0.84,23.7,139,7,0.0491,0.0182,261.7,10,0.33,1
116,9/8/2019,1002,79.03,79.21,89.69,89.69,0.73,11.2,0.82,23.49,139,7,0.0379,0.0159,261.7,9.914,0.33,1
117,9/9/2019,1001.8,79.21,79.75,91.29,91.29,0.98,8.99,0.92,18.95,170,6,0.118,0.0274,256,9.932,0.36,1
118,9/9/2019,1001.7,79.38,79.83,91.49,91.49,0.97,8.77,0.91,19.17,169,6,0.1017,0.0242,255.9,10,0.36,1
119,9/9/2019,1001.8,79.22,79.71,91.38,91.38,0.98,8.96,0.91,19.14,170,6,0.1141,0.0262,256,9.95,0.36,1
120,9/9/2019,1001.7,78.91,79.74,91.57,91.57,0.98,8.88,0.91,19.07,170,6,0.107,0.0249,255.9,10,0.36,1
121,9/9/2019,1001.2,78.98,79.78,91.48,91.48,0.97,8.68,0.9,19.04,169,6,0.0966,0.0234,255.9,10,0.36,1
122,9/9/2019,1001.3,79.39,80.08,91.11,91.11,0.98,8.93,0.91,19.12,169,6,0.1114,0.0256,256,9.971,0.36,1
123,9/9/2019,1001.8,79.07,79.63,91.32,91.32,0.98,9.01,0.92,19.29,170,6,0.1183,0.0268,256,9.911,0.36,1
124,9/9/2019,1001.3,79.1,79.95,90.78,90.78,0.95,8.66,0.91,19.65,167,6,0.0979,0.0239,255.9,9.938,0.36,1
125,9/9/2019,1001.3,79.21,79.99,90.46,90.46,0.91,8.22,0.9,19.66,164,6,0.0783,0.0215,255.9,9.952,0.36,1
126,9/10/2019,1002.4,80.64,78.15,91.75,91.75,0.84,8.7,0.78,19.46,164,8,0.0143,0.0058,260,10,0.39,1
127,9/10/2019,1002.3,80.64,78.21,92.02,92.02,0.85,8.52,0.77,19.48,165,8,0.0152,0.0061,259.9,10,0.39,1
128,9/10/2019,1002.4,80.7,78.17,91.85,91.85,0.84,8.72,0.77,19.45,164,8,0.0143,0.0054,260,10,0.39,1
129,9/10/2019,1002.3,80.14,77.64,91.93,91.93,0.84,8.74,0.77,19.42,164,8,0.0165,0.0053,260,9.977,0.39,1
130,9/10/2019,1001.8,80,77.68,92.01,92.01,0.85,8.58,0.79,19.45,165,8,0.0165,0.007,259.9,9.97,0.39,1
131,9/10/2019,1001.9,80.82,78.26,91.57,91.57,0.84,8.63,0.75,19.44,165,8,0.0148,0.0051,260,10,0.39,0
132,9/10/2019,1002.4,80.72,78.22,91.86,91.86,0.84,8.69,0.77,19.48,164,8,0.015,0.0054,260,10,0.39,0
133,9/10/2019,1001.9,80.39,78.66,91.8,91.8,0.84,8.35,0.8,19.73,164,8,0.0251,0.0074,259.9,10,0.39,1
134,9/10/2019,1001.8,79.99,79.08,92.31,92.31,0.83,7.88,0.84,19.89,166,7,0.0414,0.0103,259.8,9.62,0.39,1
135,9/11/2019,1003.6,78.15,78.39,90.8,90.8,0.99,9.29,0.75,19.4,135,5,0.0101,0.0036,260.8,9.995,0.42,1
136,9/11/2019,1003.6,78.21,78.33,91.32,91.32,0.98,9.16,0.73,19.2,135,5,0.011,0.0032,260.8,9.993,0.42,1
